sample.id	age_day	stage	pig_id	wean_day	litter	treatment	treat_type	sex	seq_region	platform	country	study	SRA	paper	Run
1	fi21w21id24con3	3	suckling	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705641
2	fi21w21id24con49	49	weaning	fi21id24	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705677
3	fi21w21id25con3	3	suckling	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705674
4	fi21w21id25con35	35	weaning	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705673
5	fi21w21id25con49	49	weaning	fi21id25	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705676
6	fi21w21id26con3	3	suckling	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705672
7	fi21w21id26con35	35	weaning	fi21id26	21	fi21_2	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705671
8	fi21w21id34con3	3	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705715
9	fi21w21id34con7	7	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705667
10	fi21w21id34con14	14	suckling	fi21id34	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705721
11	fi21w21id35con3	3	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705642
12	fi21w21id35con21	21	suckling	fi21id35	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705682
13	fi21w21id36con3	3	suckling	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705550
14	fi21w21id37con49	49	weaning	fi21id37	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705759
15	fi21w21id36con49	49	weaning	fi21id36	21	fi21_3	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705552
16	fi21w21id45con3	3	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705584
17	fi21w21id45con21	21	suckling	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705585
18	fi21w21id45con35	35	weaning	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705614
19	fi21w21id45con49	49	weaning	fi21id45	21	fi21_4	control	con	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705613
