No.	Regions	Latitude	Longitude	Latitude_new	Longitude_new	totalNumber	conNumber	tretNumbe	antibiotic	Study
1	Canada	52.47	-113.73	51.47	-112.73	752	752	0	No	Holman 2021 (n=752)
2	USA	35.76	-79.02	35.76	-79.02	492	217	275	No	Chang 2021 (n=492)
3	Netherlands 	52.15	5.33	53.15	4.33	60	60	0	No	Jurburg 2021 (n=60)
4	China	45.8	126.53	44.8	125.53	76	38	38	No	Bi 2021 (n=76)
5	China	45.53	126.35	46.53	127.35	64	32	32	Yes	Tang 2021 (n=64)
6	USA	44.56	-93.5	44.56	-93.5	216	216	0	No	Law 2021 (n=216)
7	Netherlands 	51.99	5.66	51.99	5.66	160	80	80	No	Choudhury 2021 (n=160)
8	USA	39.02	-76.53	39.02	-76.53	157	157	0	No	Arfken 2020 (n=157)
9	Australia	-34.51	138.69	-34.51	138.69	76	14	62	Yes	Nowland 2020 (n=76)
10	Norway	59.68	10.76	59.68	10.76	132	34	98	No	Michalak 2020 (n=132)
11	USA	42.03	-96.63	42.03	-96.63	204	70	134	Yes	Ricker 2020 (n=204)
13	USA	36.07	-94.17	36.07	-94.17	516	393	123	No	Wang 2019 (n=516)
14	Canada	53.32	-113.29	54.32	-114.29	231	120	111	Yes	Fouhse 2019 (n=231)
15	Netherlands 	51.38	5.53	50.38	4.53	177	0	177	No	Lepine 2019 (n=177)
