sample-id	age_day	stage	pig_id	wean_day	litter	treatment	treat_type	sex	seq_region	platform	country	study	SRA	paper	Run
#q2:types	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
fi21w21id21amc3	3	suckling	fi21id21	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705603
fi21w21id21amc7	7	suckling	fi21id21	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705596
fi21w21id21amc14	14	suckling	fi21id21	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705625
fi21w21id21amc21	21	suckling	fi21id21	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705626
fi21w21id21amc35	35	weaning	fi21id21	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705604
fi21w21id22amc3	3	suckling	fi21id22	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705599
fi21w21id22amc7	7	suckling	fi21id22	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705632
fi21w21id22amc14	14	suckling	fi21id22	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705597
fi21w21id22amc21	21	suckling	fi21id22	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705598
fi21w21id22amc35	35	weaning	fi21id22	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705686
fi21w21id22amc49	49	weaning	fi21id22	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705631
fi21w21id23amc3	3	suckling	fi21id23	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705635
fi21w21id23amc7	7	suckling	fi21id23	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705638
fi21w21id23amc14	14	suckling	fi21id23	21	fi21_2	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705633
fi21w21id23amc21	21	suckling	fi21id23	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705634
fi21w21id23amc35	35	weaning	fi21id23	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705636
fi21w21id23amc49	49	weaning	fi21id23	21	fi21_2	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705637
fi21w21id31amc3	3	suckling	fi21id31	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705699
fi21w21id31amc7	7	suckling	fi21id31	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705698
fi21w21id31amc14	14	suckling	fi21id31	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705701
fi21w21id31amc21	21	suckling	fi21id31	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705702
fi21w21id31amc35	35	weaning	fi21id31	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705700
fi21w21id31amc49	49	weaning	fi21id31	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705697
fi21w21id32amc3	3	suckling	fi21id32	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705695
fi21w21id32amc7	7	suckling	fi21id32	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705719
fi21w21id32amc35	35	weaning	fi21id32	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705696
fi21w21id32amc49	49	weaning	fi21id32	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705720
fi21w21id33amc3	3	suckling	fi21id33	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705717
fi21w21id33amc14	14	suckling	fi21id33	21	fi21_3	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705718
fi21w21id33amc35	35	weaning	fi21id33	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705724
fi21w21id33amc49	49	weaning	fi21id33	21	fi21_3	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705723
fi21w21id41amc3	3	suckling	fi21id41	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705557
fi21w21id41amc7	7	suckling	fi21id41	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705558
fi21w21id41amc14	14	suckling	fi21id41	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705554
fi21w21id41amc35	35	weaning	fi21id41	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705556
fi21w21id41amc49	49	weaning	fi21id41	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705559
fi21w21id42amc21	21	suckling	fi21id42	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705576
fi21w21id43amc3	3	suckling	fi21id43	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705575
fi21w21id43amc7	7	suckling	fi21id43	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705578
fi21w21id43amc14	14	suckling	fi21id43	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705577
fi21w21id43amc21	21	suckling	fi21id43	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705574
fi21w21id43amc35	35	weaning	fi21id43	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705580
fi21w21id43amc49	49	weaning	fi21id43	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705581
fi21w21id44amc3	3	suckling	fi21id44	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705583
fi21w21id44amc7	7	suckling	fi21id44	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705618
fi21w21id44amc14	14	suckling	fi21id44	21	fi21_4	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705579
fi21w21id44amc21	21	suckling	fi21id44	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705582
fi21w21id44amc35	35	weaning	fi21id44	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705620
fi21w21id44amc49	49	weaning	fi21id44	21	fi21_4	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705619
fi21w21id51amc3	3	suckling	fi21id51	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705592
fi21w21id51amc14	14	suckling	fi21id51	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705726
fi21w21id51amc21	21	suckling	fi21id51	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705593
fi21w21id51amc35	35	weaning	fi21id51	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705591
fi21w21id51amc49	49	weaning	fi21id51	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705590
fi21w21id52amc3	3	suckling	fi21id52	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705587
fi21w21id52amc7	7	suckling	fi21id52	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705594
fi21w21id52amc14	14	suckling	fi21id52	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705589
fi21w21id52amc21	21	suckling	fi21id52	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705588
fi21w21id52amc35	35	weaning	fi21id52	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705586
fi21w21id52amc49	49	weaning	fi21id52	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705595
fi21w21id53amc7	7	suckling	fi21id53	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705568
fi21w21id53amc14	14	suckling	fi21id53	21	fi21_5	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705564
fi21w21id53amc21	21	suckling	fi21id53	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705565
fi21w21id53amc35	35	weaning	fi21id53	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705566
fi21w21id53amc49	49	weaning	fi21id53	21	fi21_5	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705567
fi21w21id61amc3	3	suckling	fi21id61	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705611
fi21w21id61amc7	7	suckling	fi21id61	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705610
fi21w21id61amc14	14	suckling	fi21id61	21	fi21_6	antibiotic	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705606
fi21w21id61amc35	35	weaning	fi21id61	21	fi21_6	other	amoxicillin_oral	na	na	MiSeq	Canada	fi19	SRP158254	Fouhse 2019	SRR7705612
