OTU	Contribution	Kindom	Phylum	Class	Order	Family	Genus	Species
FVUK01000005.9204.10713	31.168408	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Mycobacterium abscessus subsp. bolletii
AM183040.1.1452	16.43139924	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	uncultured bacterium
AB845201.1.1269	9.780701933	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. LAB1
DQ800246.1.1225	9.426512747	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	uncultured bacterium
GQ133046.1.1200	8.721958573	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	uncultured bacterium
KX880950.1.1206	9.220701762	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia sp.
EU767018.1.1359	1.315243261	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured bacterium
EU776524.1.1264	0.788808077	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	uncultured bacterium
HQ815191.1.1448	0.497769977	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	uncultured organism
JQ818210.1.1210	0.456169436	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	uncultured Enterobacteriaceae bacterium
KX880950.1.1206	4.716992848	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	Escherichia sp.
EU766786.1.1359	4.305685761	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured bacterium
EU468121.1.1291	1.865323429	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uncultured bacterium
HQ815191.1.1448	1.027731757	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	uncultured organism
EU462327.1.1407	0.785304238	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	uncultured bacterium
EU772516.1.1285	0.788945933	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
KX881777.1.1230	0.476591918	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
DQ796718.1.1314	0.472638981	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	uncultured bacterium
HQ716268.1.1449	0.459081279	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
HQ716578.1.1402	0.42663955	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Family XIII AD3011 group	uncultured bacterium
KX881777.1.1230	2.835316351	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
JQ595922.1.973	1.934265297	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	uncultured archaeon
EU774979.1.1284	1.582971553	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	uncultured bacterium
EU467345.1.1355	1.571686019	Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Mogibacterium	uncultured bacterium
DQ795825.1.1305	1.532701293	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	uncultured bacterium
FJ676771.1.1447	14.47277992	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
EU774137.1.1386	5.671532904	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
GQ448336.1.1418	5.274498716	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	uncultured bacterium
EU777529.1.1379	5.112232744	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 7	uncultured bacterium
DQ801516.1.1392	4.811500569	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	uncultured bacterium
GQ358345.1.1306	5.305506098	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	uncultured Veillonellaceae bacterium
EU778637.1.1304	3.018126906	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
EU774123.1.1361	2.348812449	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
EU773581.1.1368	2.254065895	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	uncultured bacterium
GQ358380.1.1239	1.759701369	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	uncultured Veillonellaceae bacterium
KX881777.1.1230	5.491	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
EU467351.1.1273	5.074	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	uncultured bacterium
CZBP01000074.1.1200	4.613	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum
FJ674110.1.1460	3.441	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerovibrio	uncultured bacterium
GQ448315.1.1424	3.292	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	uncultured bacterium
EU773581.1.1368	23.64588261	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	uncultured bacterium
EU778637.1.1304	23.5447912	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
EU462209.1.1302	11.02540978	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
FJ678529.1.1507	6.771505298	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	uncultured bacterium
FJ679651.1.1547	6.179633882	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerovibrio	uncultured bacterium
GQ133046.1.1200	53.39238503	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	uncultured bacterium
EU779052.1.1312	24.1148693	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	uncultured bacterium
DQ796305.1.1285	9.249928154	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	uncultured bacterium
DQ800246.1.1225	7.856972912	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	uncultured bacterium
GQ138686.1.1380	6.701920993	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	uncultured bacterium
